url_name,name,publication_scheme,disclosure_log
avon_and_somerset_police,Avon and Somerset Constabulary,https://www.avonandsomerset.police.uk/about/publication-scheme/,https://www.avonandsomerset.police.uk/about/freedom-of-information/previous-foi-requests/
cnc,Civil Nuclear Constabulary,https://www.gov.uk/government/organisations/civil-nuclear-constabulary/about/publication-scheme,https://www.gov.uk/search/transparency-and-freedom-of-information-releases?organisations[]=civil-nuclear-constabulary&parent=civil-nuclear-constabulary
cleveland_pcc,Cleveland Police and Crime Commissioner,https://www.cleveland.pcc.police.uk/commissioner/transparency/freedom-of-information-guidelines/,https://www.cleveland.pcc.police.uk/commissioner/transparency/foi-log/
cleveland_police,Cleveland Police,https://www.cleveland.police.uk/foi-ai/af/accessing-information/publication-scheme,https://www.cleveland.police.uk/foi-ai/af/accessing-information/published-items
college_of_policing,College of Policing Limited,https://www.college.police.uk/about/publication-scheme,https://www.college.police.uk/about/data-protection-foi/disclosure-log
cumbria_police,Cumbria Constabulary,https://www.cumbria.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.cumbria.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
derbyshire_police,Derbyshire Constabulary,https://www.derbyshire.police.uk/foi-ai/af/accessing-information/publication-scheme,"https://www.derbyshire.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
devon_and_cornwall_police,Devon and Cornwall Constabulary,https://www.devon-cornwall.police.uk/foi-ai/af/accessing-information/publication-scheme,https://www.devon-cornwall.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log&fdte=&tdte=&ic=&icsc=
dorset_pcp,Dorset Police and Crime Panel,https://www.dorsetcouncil.gov.uk/your-council/about-your-council/freedom-of-information/access-to-information-and-fees-for-dorset-council,https://dorset.disclosure-log.co.uk/
dorset_police,Dorset Police,https://www.dorset.police.uk/foi-ai/af/accessing-information/publication-scheme,https://www.dorset.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log&fdte=&tdte=&ic=&icsc=
dumfries_and_galloway_constabulary,Dumfries and Galloway Constabulary,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
durham_police,Durham Constabulary,https://www.durham.police.uk/foi-ai/af/accessing-information/publication-scheme,https://www.durham.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log&fdte=&tdte=&ic=&icsc=
dyfed_powys_police,Dyfed Powys Police,https://www.dyfed-powys.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.dyfed-powys.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
essex_police,Essex Police,https://www.essex.police.uk/foi-ai/af/accessing-information/publication-scheme/,https://www.essex.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log&dt=Publication+scheme&fdte=&tdte=
fife_constabulary,Fife Constabulary,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
gloucestershire_police,Gloucestershire Constabulary,https://www.gloucestershire.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.gloucestershire.police.uk/foi-ai/af/accessing-information/published-items/q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
gloucestershire_pcc,Gloucestershire Police and Crime Commissioner,https://www.gloucestershire-pcc.gov.uk/publication-scheme/,https://www.gloucestershire-pcc.gov.uk/previous-foi-requests/
grampian_police,Grampian Police,https://www.scotland.police.uk/access-to-information/model-publication-scheme/,https://www.scotland.police.uk/access-to-information/freedom-of-information/disclosure-log/
gmp,Greater Manchester Police,https://www.gmp.police.uk/foi-ai/af/accessing-information/publication-scheme/,"https://www.gmp.police.uk/foi-ai/af/accessing-information/published-items/?q=&dt=Disclosure+log,Environmental+information+regulation,Publication+scheme&fdte=&tdte=&ic=&dir=&bor="
